loc_rowid,pl_hostname,pl_letter,pl_name,pl_discmethod,pl_pnum,pl_kepflag,pl_k2flag,pl_nnotes,st_teff,st_tefferr1,st_tefferr2,st_tefflim,pl_facility
1,11 Com,b,11 Com b,Radial Velocity,1,0,0,0,4742,100,-100,0,Xinglong Station
2,11 UMi,b,11 UMi b,Radial Velocity,1,0,0,0,4213,46,-46,0,Thueringer Landessternwarte Tautenburg
3,14 And,b,14 And b,Radial Velocity,1,0,0,0,4813,20,-20,0,Okayama Astrophysical Observatory
4,14 Her,b,14 Her b,Radial Velocity,1,0,0,0,5338,25,-25,0,W. M. Keck Observatory
5,16 Cyg B,b,16 Cyg B b,Radial Velocity,1,0,0,0,5750,8,-8,0,Multiple Observatories
6,18 Del,b,18 Del b,Radial Velocity,1,0,0,0,4979,18,-18,0,Okayama Astrophysical Observatory
7,1RXS J160929.1-210524,b,1RXS J160929.1-210524 b,Imaging,1,0,0,0,4060,300,-200,0,Gemini Observatory
8,24 Boo,b,24 Boo b,Radial Velocity,1,0,0,0,4893,15,-15,0,Okayama Astrophysical Observatory
9,24 Sex,b,24 Sex b,Radial Velocity,2,0,0,0,5098,44,-44,0,Lick Observatory
10,24 Sex,c,24 Sex c,Radial Velocity,2,0,0,0,5098,44,-44,0,Lick Observatory
11,2MASS J01225093-2439505,b,2MASS J01225093-2439505 b,Imaging,1,0,0,0,3530,50,-50,0,W. M. Keck Observatory
12,2MASS J02192210-3925225,b,2MASS J02192210-3925225 b,Imaging,1,0,0,0,3064,76,-76,0,Cerro Tololo Inter-American Observatory
13,2MASS J04414489+2301513,b,2MASS J04414489+2301513 b,Imaging,1,0,0,0,,,,,Hubble Space Telescope
14,2MASS J12073346-3932539,b,2MASS J12073346-3932539 b,Imaging,1,0,0,0,,,,,Paranal Observatory
15,2MASS J19383260+4603591,b,2MASS J19383260+4603591 b,Eclipse Timing Variations,1,1,0,0,,,,,Kepler
16,2MASS J21402931+1625183 A,b,2MASS J21402931+1625183 A b,Imaging,1,0,0,0,2300,80,-80,0,W. M. Keck Observatory
17,2MASS J22362452+4751425,b,2MASS J22362452+4751425 b,Imaging,1,0,0,1,4045,35,-35,0,W. M. Keck Observatory
18,30 Ari B,b,30 Ari B b,Radial Velocity,1,0,0,0,6331,61,-61,0,Thueringer Landessternwarte Tautenburg
19,4 UMa,b,4 UMa b,Radial Velocity,1,0,0,0,4415,70,-70,0,Thueringer Landessternwarte Tautenburg
20,42 Dra,b,42 Dra b,Radial Velocity,1,0,0,0,4200,70,-70,0,Thueringer Landessternwarte Tautenburg
21,47 UMa,b,47 UMa b,Radial Velocity,3,0,0,0,5892,70,-70,0,Lick Observatory
22,47 UMa,c,47 UMa c,Radial Velocity,3,0,0,0,5892,70,-70,0,Lick Observatory
23,47 UMa,d,47 UMa d,Radial Velocity,3,0,0,0,5892,70,-70,0,Lick Observatory
24,51 Eri,b,51 Eri b,Imaging,1,0,0,1,,,,,Gemini Observatory
25,51 Peg,b,51 Peg b,Radial Velocity,1,0,0,0,5793,70,-70,0,Haute-Provence Observatory
26,55 Cnc,b,55 Cnc b,Radial Velocity,5,0,0,0,5196,24,-24,0,Lick Observatory
27,55 Cnc,c,55 Cnc c,Radial Velocity,5,0,0,0,5196,24,-24,0,McDonald Observatory
28,55 Cnc,d,55 Cnc d,Radial Velocity,5,0,0,0,5196,24,-24,0,Lick Observatory
29,55 Cnc,e,55 Cnc e,Radial Velocity,5,0,0,1,5196,24,-24,0,McDonald Observatory
30,55 Cnc,f,55 Cnc f,Radial Velocity,5,0,0,0,5196,24,-24,0,Multiple Observatories
31,6 Lyn,b,6 Lyn b,Radial Velocity,1,0,0,0,4938,,,0,Okayama Astrophysical Observatory
32,61 Vir,b,61 Vir b,Radial Velocity,3,0,0,0,5577,33,-33,0,Multiple Observatories
33,61 Vir,c,61 Vir c,Radial Velocity,3,0,0,0,5577,33,-33,0,Multiple Observatories
34,61 Vir,d,61 Vir d,Radial Velocity,3,0,0,0,5577,33,-33,0,Multiple Observatories
35,7 CMa,b,7 CMa b,Radial Velocity,1,0,0,0,4792,100,-100,0,Anglo-Australian Telescope
36,70 Vir,b,70 Vir b,Radial Velocity,1,0,0,0,5495,,,0,Lick Observatory
37,75 Cet,b,75 Cet b,Radial Velocity,1,0,0,0,4846,18,-18,0,Okayama Astrophysical Observatory
38,8 UMi,b,8 UMi b,Radial Velocity,1,0,0,0,4847,7,-7,0,Bohyunsan Optical Astronomical Observatory
39,81 Cet,b,81 Cet b,Radial Velocity,1,0,0,0,4785,25,-25,0,Okayama Astrophysical Observatory
40,91 Aqr,b,91 Aqr b,Radial Velocity,1,0,0,0,4665,18,-18,0,Lick Observatory
41,AB Pic,b,AB Pic b,Imaging,1,0,0,0,,,,,Paranal Observatory
42,BD+03 2562,b,BD+03 2562 b,Radial Velocity,1,0,0,0,4095,20,-20,0,Multiple Observatories
43,BD+14 4559,b,BD+14 4559 b,Radial Velocity,1,0,0,0,4864,101,-101,0,McDonald Observatory
44,BD+15 2375,b,BD+15 2375 b,Radial Velocity,1,0,0,0,4649,30,-30,0,Roque de los Muchachos Observatory
45,BD+15 2940,b,BD+15 2940 b,Radial Velocity,1,0,0,0,4796,117,-117,0,McDonald Observatory
46,BD+20 2457,b,BD+20 2457 b,Radial Velocity,2,0,0,0,4259,64,-64,0,McDonald Observatory
47,BD+20 2457,c,BD+20 2457 c,Radial Velocity,2,0,0,0,4259,64,-64,0,McDonald Observatory
48,BD+20 274,b,BD+20 274 b,Radial Velocity,1,0,0,0,4296,10,-10,0,McDonald Observatory
49,BD+20 594,b,BD+20 594 b,Transit,1,0,1,1,5766,99,-99,0,K2
50,BD+48 738,b,BD+48 738 b,Radial Velocity,1,0,0,0,4414,15,-15,0,McDonald Observatory
51,BD+48 740,b,BD+48 740 b,Radial Velocity,1,0,0,0,4534,8,-8,0,Multiple Observatories
52,BD+49 828,b,BD+49 828 b,Radial Velocity,1,0,0,0,4943,30,-30,0,McDonald Observatory
53,BD-06 1339,b,BD-06 1339 b,Radial Velocity,2,0,0,0,4324,100,-100,0,La Silla Observatory
54,BD-06 1339,c,BD-06 1339 c,Radial Velocity,2,0,0,0,4324,100,-100,0,La Silla Observatory
55,BD-08 2823,b,BD-08 2823 b,Radial Velocity,2,0,0,0,4816,114,-114,0,La Silla Observatory
56,BD-08 2823,c,BD-08 2823 c,Radial Velocity,2,0,0,0,4816,114,-114,0,La Silla Observatory
57,BD-10 3166,b,BD-10 3166 b,Radial Velocity,1,0,0,0,5393,44,-44,0,W. M. Keck Observatory
58,BD-11 4672,b,BD-11 4672 b,Radial Velocity,1,0,0,0,4475,100,-100,0,La Silla Observatory
59,BD-13 2130,b,BD-13 2130 b,Radial Velocity,1,0,0,0,4545,71,-71,0,La Silla Observatory
60,BD-17 63,b,BD-17 63 b,Radial Velocity,1,0,0,0,4665,120,-120,0,La Silla Observatory
61,CFBDSIR J145829+101343,b,CFBDSIR J145829+101343 b,Imaging,1,0,0,1,580.5,24.5,-24.5,0,W. M. Keck Observatory
62,CHXR 73,b,CHXR 73 b,Imaging,1,0,0,0,,,,,Hubble Space Telescope
63,CT Cha,b,CT Cha b,Imaging,1,0,0,0,,,,,Paranal Observatory
64,CoRoT-1,b,CoRoT-1 b,Transit,1,0,0,0,5950,150,-150,0,CoRoT
65,CoRoT-10,b,CoRoT-10 b,Transit,1,0,0,0,5075,75,-75,0,CoRoT
66,CoRoT-11,b,CoRoT-11 b,Transit,1,0,0,0,6440,120,-120,0,CoRoT
67,CoRoT-12,b,CoRoT-12 b,Transit,1,0,0,0,5675,80,-80,0,CoRoT
68,CoRoT-13,b,CoRoT-13 b,Transit,1,0,0,0,5945,90,-90,0,CoRoT
69,CoRoT-14,b,CoRoT-14 b,Transit,1,0,0,0,6035,100,-100,0,CoRoT
70,CoRoT-16,b,CoRoT-16 b,Transit,1,0,0,0,5650,100,-100,0,CoRoT
71,CoRoT-17,b,CoRoT-17 b,Transit,1,0,0,0,5740,80,-80,0,CoRoT
72,CoRoT-18,b,CoRoT-18 b,Transit,1,0,0,0,5440,100,-100,0,CoRoT
73,CoRoT-19,b,CoRoT-19 b,Transit,1,0,0,0,6090,70,-70,0,CoRoT
74,CoRoT-2,b,CoRoT-2 b,Transit,1,0,0,1,5625,120,-120,0,CoRoT
75,CoRoT-20,b,CoRoT-20 b,Transit,2,0,0,1,,,,0,CoRoT
76,CoRoT-20,c,CoRoT-20 c,Radial Velocity,2,0,0,0,,,,0,Multiple Observatories
77,CoRoT-21,b,CoRoT-21 b,Transit,1,0,0,0,6200,100,-100,0,CoRoT
78,CoRoT-22,b,CoRoT-22 b,Transit,1,0,0,0,5939,54,-120,0,CoRoT
79,CoRoT-23,b,CoRoT-23 b,Transit,1,0,0,0,5900,100,-100,0,CoRoT
80,CoRoT-24,b,CoRoT-24 b,Transit,2,0,0,0,4950,150,-150,0,CoRoT
81,CoRoT-24,c,CoRoT-24 c,Transit,2,0,0,0,4950,150,-150,0,CoRoT
82,CoRoT-25,b,CoRoT-25 b,Transit,1,0,0,0,6040,90,-90,0,CoRoT
83,CoRoT-26,b,CoRoT-26 b,Transit,1,0,0,0,5590,100,-100,0,CoRoT
84,CoRoT-27,b,CoRoT-27 b,Transit,1,0,0,0,5900,120,-120,0,CoRoT
85,CoRoT-28,b,CoRoT-28 b,Transit,1,0,0,0,5150,100,-100,0,CoRoT
86,CoRoT-29,b,CoRoT-29 b,Transit,1,0,0,0,5260,100,-100,0,CoRoT
87,CoRoT-3,b,CoRoT-3 b,Transit,1,0,0,0,6740,140,-140,0,CoRoT
88,CoRoT-4,b,CoRoT-4 b,Transit,1,0,0,0,6190,60,-60,0,CoRoT
89,CoRoT-5,b,CoRoT-5 b,Transit,1,0,0,0,6100,65,-65,0,CoRoT
90,CoRoT-6,b,CoRoT-6 b,Transit,1,0,0,0,6090,70,-70,0,CoRoT
91,CoRoT-7,b,CoRoT-7 b,Transit,2,0,0,0,5275,75,-75,0,CoRoT
92,CoRoT-7,c,CoRoT-7 c,Radial Velocity,2,0,0,0,5275,75,-75,0,CoRoT
93,CoRoT-8,b,CoRoT-8 b,Transit,1,0,0,0,5080,80,-80,0,CoRoT
94,CoRoT-9,b,CoRoT-9 b,Transit,1,0,0,1,5625,80,-80,0,CoRoT
95,CoRoTID 223977153,b,CoRoTID 223977153 b,Transit,1,0,0,0,5970,100,-100,0,CoRoT
96,DENIS-P J082303.1-491201,b,DENIS-P J082303.1-491201 b,Astrometry,1,0,0,0,,,,,Paranal Observatory
97,DH Tau,b,DH Tau b,Imaging,1,0,0,1,,,,,Subaru Telescope
98,DP Leo,b,DP Leo b,Eclipse Timing Variations,1,0,0,0,,,,,Yunnan Astronomical Observatory
99,EPIC 211822797,b,EPIC 211822797 b,Transit,1,0,1,1,4148.21,82.41,-80.21,0,K2
100,EPIC 211945201,b,EPIC 211945201 b,Transit,1,0,0,0,6069,90,-90,0,K2
101,EPIC 220674823,b,EPIC 220674823 b,Transit,2,0,1,1,5617,86,-86,0,K2
102,EPIC 220674823,c,EPIC 220674823 c,Transit,2,0,1,1,5617,86,-86,0,K2
103,EPIC 246851721,b,EPIC 246851721 b,Transit,1,0,1,0,6202,52,-50,0,K2
104,FU Tau,b,FU Tau b,Imaging,1,0,0,1,2838,,,0,Spitzer Space Telescope
105,Fomalhaut,b,Fomalhaut b,Imaging,1,0,0,2,,,,0,Hubble Space Telescope
106,GJ 1132,b,GJ 1132 b,Transit,2,0,0,2,3270,140,-140,0,Cerro Tololo Inter-American Observatory
107,GJ 1132,c,GJ 1132 c,Transit,2,0,0,1,3270,140,-140,0,La Silla Observatory
108,GJ 1148,b,GJ 1148 b,Radial Velocity,2,0,0,0,3264,,,0,W. M. Keck Observatory
109,GJ 1148,c,GJ 1148 c,Radial Velocity,2,0,0,0,3264,,,0,Calar Alto Observatory
110,GJ 1214,b,GJ 1214 b,Transit,1,0,0,3,3026,150,-150,0,MEarth Project
111,GJ 1265,b,GJ 1265 b,Radial Velocity,1,0,0,0,3236,51,-51,0,Calar Alto Observatory
112,GJ 163,b,GJ 163 b,Radial Velocity,3,0,0,0,3500,100,-100,0,La Silla Observatory
113,GJ 163,c,GJ 163 c,Radial Velocity,3,0,0,0,3500,100,-100,0,La Silla Observatory
114,GJ 163,d,GJ 163 d,Radial Velocity,3,0,0,0,3500,100,-100,0,La Silla Observatory
115,GJ 179,b,GJ 179 b,Radial Velocity,1,0,0,0,3370,100,-100,0,W. M. Keck Observatory
116,GJ 273,b,GJ 273 b,Radial Velocity,2,0,0,0,3382,49,-49,0,La Silla Observatory
117,GJ 273,c,GJ 273 c,Radial Velocity,2,0,0,0,3382,49,-49,0,La Silla Observatory
118,GJ 3021,b,GJ 3021 b,Radial Velocity,1,0,0,1,5540,75,-75,0,La Silla Observatory
119,GJ 3138,b,GJ 3138 b,Radial Velocity,3,0,0,0,3717,49,-49,0,La Silla Observatory
120,GJ 3138,c,GJ 3138 c,Radial Velocity,3,0,0,0,3717,49,-49,0,La Silla Observatory
121,GJ 3138,d,GJ 3138 d,Radial Velocity,3,0,0,0,3717,49,-49,0,La Silla Observatory
122,GJ 317,b,GJ 317 b,Radial Velocity,2,0,0,0,3510,50,-50,0,W. M. Keck Observatory
123,GJ 317,c,GJ 317 c,Radial Velocity,2,0,0,0,3510,50,-50,0,W. M. Keck Observatory
124,GJ 328,b,GJ 328 b,Radial Velocity,1,0,0,0,3900,100,-100,0,McDonald Observatory
125,GJ 3293,b,GJ 3293 b,Radial Velocity,4,0,0,0,3466,49,-49,0,La Silla Observatory
126,GJ 3293,c,GJ 3293 c,Radial Velocity,4,0,0,0,3466,49,-49,0,La Silla Observatory
127,GJ 3293,d,GJ 3293 d,Radial Velocity,4,0,0,0,3466,49,-49,0,La Silla Observatory
128,GJ 3293,e,GJ 3293 e,Radial Velocity,4,0,0,0,3466,49,-49,0,La Silla Observatory
129,GJ 3323,b,GJ 3323 b,Radial Velocity,2,0,0,0,3159,49,-49,0,La Silla Observatory
130,GJ 3323,c,GJ 3323 c,Radial Velocity,2,0,0,0,3159,49,-49,0,La Silla Observatory
131,GJ 3341,b,GJ 3341 b,Radial Velocity,1,0,0,0,3526,49,-49,0,La Silla Observatory
132,GJ 3470,b,GJ 3470 b,Radial Velocity,1,0,0,1,3652,50,-50,0,La Silla Observatory
133,GJ 3634,b,GJ 3634 b,Radial Velocity,1,0,0,0,,,,,La Silla Observatory
134,GJ 3779,b,GJ 3779 b,Radial Velocity,1,0,0,0,3324,51,-51,0,Calar Alto Observatory
135,GJ 3942,b,GJ 3942 b,Radial Velocity,1,0,0,0,3867,69,-69,0,Roque de los Muchachos Observatory
136,GJ 3998,b,GJ 3998 b,Radial Velocity,2,0,0,1,3722,68,-68,0,Roque de los Muchachos Observatory
137,GJ 3998,c,GJ 3998 c,Radial Velocity,2,0,0,1,3722,68,-68,0,Roque de los Muchachos Observatory
138,GJ 433,b,GJ 433 b,Radial Velocity,1,0,0,0,3461,150,-150,0,La Silla Observatory
139,GJ 436,b,GJ 436 b,Radial Velocity,1,0,0,0,,,,,W. M. Keck Observatory
140,GJ 504,b,GJ 504 b,Imaging,1,0,0,0,6234,25,-25,0,Subaru Telescope
141,GJ 536,b,GJ 536 b,Radial Velocity,1,0,0,0,3685,68,-68,0,La Silla Observatory
142,GJ 581,b,GJ 581 b,Radial Velocity,3,0,0,0,,,,,La Silla Observatory
143,GJ 581,c,GJ 581 c,Radial Velocity,3,0,0,0,,,,,La Silla Observatory
144,GJ 581,e,GJ 581 e,Radial Velocity,3,0,0,0,,,,,La Silla Observatory
145,GJ 625,b,GJ 625 b,Radial Velocity,1,0,0,0,3499,68,-68,0,Multiple Observatories
146,GJ 649,b,GJ 649 b,Radial Velocity,1,0,0,0,3700,60,-60,0,W. M. Keck Observatory
147,GJ 667 C,b,GJ 667 C b,Radial Velocity,5,0,0,0,3350,50,-50,0,La Silla Observatory
148,GJ 667 C,c,GJ 667 C c,Radial Velocity,5,0,0,0,3350,50,-50,0,La Silla Observatory
149,GJ 667 C,e,GJ 667 C e,Radial Velocity,5,0,0,0,3350,50,-50,0,La Silla Observatory
150,GJ 667 C,f,GJ 667 C f,Radial Velocity,5,0,0,0,3350,50,-50,0,La Silla Observatory
151,GJ 667 C,g,GJ 667 C g,Radial Velocity,5,0,0,0,3350,50,-50,0,La Silla Observatory
152,GJ 674,b,GJ 674 b,Radial Velocity,1,0,0,0,3600,100,-100,0,La Silla Observatory
153,GJ 676 A,b,GJ 676 A b,Radial Velocity,4,0,0,0,3734,181,-181,0,La Silla Observatory
154,GJ 676 A,c,GJ 676 A c,Radial Velocity,4,0,0,0,3734,181,-181,0,Paranal Observatory
155,GJ 676 A,d,GJ 676 A d,Radial Velocity,4,0,0,0,3734,181,-181,0,La Silla Observatory
156,GJ 676 A,e,GJ 676 A e,Radial Velocity,4,0,0,0,3734,181,-181,0,La Silla Observatory
157,GJ 687,b,GJ 687 b,Radial Velocity,1,0,0,0,3340,97,-97,0,Lick Observatory
158,GJ 832,b,GJ 832 b,Radial Velocity,2,0,0,0,3472,,,0,Anglo-Australian Telescope
159,GJ 832,c,GJ 832 c,Radial Velocity,2,0,0,0,3472,,,0,Multiple Observatories
160,GJ 849,b,GJ 849 b,Radial Velocity,1,0,0,0,3241,150,-150,0,W. M. Keck Observatory
161,GJ 86,b,GJ 86 b,Radial Velocity,1,0,0,0,5182,11,-11,0,La Silla Observatory
162,GJ 876,b,GJ 876 b,Radial Velocity,4,0,0,0,,,,0,Multiple Observatories
163,GJ 876,c,GJ 876 c,Radial Velocity,4,0,0,0,,,,0,Multiple Observatories
164,GJ 876,d,GJ 876 d,Radial Velocity,4,0,0,1,,,,0,W. M. Keck Observatory
165,GJ 876,e,GJ 876 e,Radial Velocity,4,0,0,0,,,,0,W. M. Keck Observatory
166,GJ 96,b,GJ 96 b,Radial Velocity,1,0,0,0,3785,62,-62,0,Haute-Provence Observatory
167,GJ 9827,b,GJ 9827 b,Transit,3,0,1,1,4269,98,-99,0,K2
168,GJ 9827,c,GJ 9827 c,Transit,3,0,1,1,4269,98,-99,0,K2
169,GJ 9827,d,GJ 9827 d,Transit,3,0,1,1,4269,98,-99,0,K2
170,GQ Lup,b,GQ Lup b,Imaging,1,0,0,1,,,,,Paranal Observatory
171,GSC 06214-00210,b,GSC 06214-00210 b,Imaging,1,0,0,1,4200,150,-150,0,Palomar Observatory
172,GU Psc,b,GU Psc b,Imaging,1,0,0,0,,,,,Gemini Observatory
173,HAT-P-1,b,HAT-P-1 b,Transit,1,0,0,0,5980,49,-49,0,HATNet
174,HAT-P-11,b,HAT-P-11 b,Transit,2,1,0,1,4780,50,-50,0,HATNet
175,HAT-P-11,c,HAT-P-11 c,Radial Velocity,2,1,0,0,4780,50,-50,0,W. M. Keck Observatory
176,HAT-P-12,b,HAT-P-12 b,Transit,1,0,0,0,4650,60,-60,0,HATNet
177,HAT-P-13,b,HAT-P-13 b,Transit,2,0,0,0,5653,90,-90,0,HATNet
178,HAT-P-13,c,HAT-P-13 c,Radial Velocity,2,0,0,0,5653,90,-90,0,W. M. Keck Observatory
179,HAT-P-14,b,HAT-P-14 b,Transit,1,0,0,0,6600,90,-90,0,HATNet
180,HAT-P-15,b,HAT-P-15 b,Transit,1,0,0,0,5568,90,-90,0,HATNet
181,HAT-P-16,b,HAT-P-16 b,Transit,1,0,0,0,6158,80,-80,0,HATNet
182,HAT-P-17,b,HAT-P-17 b,Transit,2,0,0,0,5246,80,-80,0,HATNet
183,HAT-P-17,c,HAT-P-17 c,Radial Velocity,2,0,0,0,5246,80,-80,0,W. M. Keck Observatory
184,HAT-P-18,b,HAT-P-18 b,Transit,1,0,0,1,4803,80,-80,0,HATNet
185,HAT-P-19,b,HAT-P-19 b,Transit,1,0,0,0,4990,130,-130,0,HATNet
186,HAT-P-2,b,HAT-P-2 b,Transit,1,0,0,2,6380,,,0,HATNet
187,HAT-P-20,b,HAT-P-20 b,Transit,1,0,0,0,4595,80,-80,0,HATNet
188,HAT-P-21,b,HAT-P-21 b,Transit,1,0,0,0,5588,80,-80,0,HATNet
189,HAT-P-22,b,HAT-P-22 b,Transit,1,0,0,0,5302,80,-80,0,HATNet
190,HAT-P-23,b,HAT-P-23 b,Transit,1,0,0,0,5905,80,-80,0,HATNet
191,HAT-P-24,b,HAT-P-24 b,Transit,1,0,0,0,6373,80,-80,0,HATNet
192,HAT-P-25,b,HAT-P-25 b,Transit,1,0,0,0,5500,80,-80,0,HATNet
193,HAT-P-26,b,HAT-P-26 b,Transit,1,0,0,0,5079,88,-88,0,HATNet
194,HAT-P-27,b,HAT-P-27 b,Transit,1,0,0,1,5300,90,-90,0,HATNet
195,HAT-P-28,b,HAT-P-28 b,Transit,1,0,0,0,5680,90,-90,0,HATNet
196,HAT-P-29,b,HAT-P-29 b,Transit,1,0,0,0,6087,88,-88,0,HATNet
197,HAT-P-3,b,HAT-P-3 b,Transit,1,0,0,0,5185,80,-80,0,HATNet
198,HAT-P-30,b,HAT-P-30 b,Transit,1,0,0,0,6304,88,-88,0,HATNet
199,HAT-P-31,b,HAT-P-31 b,Transit,1,0,0,0,6065,100,-100,0,HATNet
200,HAT-P-32,b,HAT-P-32 b,Transit,1,0,0,0,6207,88,-88,0,HATNet
201,HAT-P-33,b,HAT-P-33 b,Transit,1,0,0,0,6446,88,-88,0,HATNet
202,HAT-P-34,b,HAT-P-34 b,Transit,1,0,0,0,6442,88,-88,0,HATNet
203,HAT-P-35,b,HAT-P-35 b,Transit,1,0,0,0,6096,88,-88,0,HATNet
204,HAT-P-36,b,HAT-P-36 b,Transit,1,0,0,0,5560,100,-100,0,HATNet
205,HAT-P-37,b,HAT-P-37 b,Transit,1,0,0,0,5500,100,,0,HATNet
206,HAT-P-38,b,HAT-P-38 b,Transit,1,0,0,0,5330,100,,0,HATNet
207,HAT-P-39,b,HAT-P-39 b,Transit,1,0,0,0,6430,100,,0,HATNet
208,HAT-P-4,b,HAT-P-4 b,Transit,1,0,0,0,5860,80,,0,HATNet
209,HAT-P-40,b,HAT-P-40 b,Transit,1,0,0,0,6080,100,-100,0,HATNet
210,HAT-P-41,b,HAT-P-41 b,Transit,1,0,0,0,6390,100,-100,0,HATNet
211,HAT-P-42,b,HAT-P-42 b,Transit,1,0,0,0,5743,50,-50,0,HATNet
212,HAT-P-43,b,HAT-P-43 b,Transit,1,0,0,0,5645,74,-74,0,HATNet
213,HAT-P-44,b,HAT-P-44 b,Transit,2,0,0,0,5295,100,-100,0,HATNet
214,HAT-P-44,c,HAT-P-44 c,Radial Velocity,2,0,0,0,5295,100,-100,0,W. M. Keck Observatory
215,HAT-P-45,b,HAT-P-45 b,Transit,1,0,0,0,6330,100,-100,0,HATNet
216,HAT-P-46,b,HAT-P-46 b,Transit,1,0,0,0,6120,100,-100,0,HATNet
217,HAT-P-49,b,HAT-P-49 b,Transit,1,0,0,0,6820,52,-52,0,HATNet
218,HAT-P-5,b,HAT-P-5 b,Transit,1,0,0,0,5960,100,-100,0,HATNet
219,HAT-P-50,b,HAT-P-50 b,Transit,1,0,0,0,6280,49,-49,0,HATNet
220,HAT-P-51,b,HAT-P-51 b,Transit,1,0,0,0,5449,50,-50,0,HATNet
221,HAT-P-52,b,HAT-P-52 b,Transit,1,0,0,0,5131,50,-50,0,HATNet
222,HAT-P-53,b,HAT-P-53 b,Transit,1,0,0,0,5956,50,-50,0,HATNet
223,HAT-P-54,b,HAT-P-54 b,Transit,1,0,0,0,4390,50,-50,0,HATNet
224,HAT-P-55,b,HAT-P-55 b,Transit,1,0,0,0,5808,50,-50,0,HATNet
225,HAT-P-56,b,HAT-P-56 b,Transit,1,0,1,0,6566,50,-50,0,HATNet
226,HAT-P-57,b,HAT-P-57 b,Transit,1,0,0,0,6330,124,-124,0,HATNet
227,HAT-P-6,b,HAT-P-6 b,Transit,1,0,0,0,6570,80,-80,0,HATNet
228,HAT-P-65,b,HAT-P-65 b,Transit,1,0,0,0,5835,51,-51,0,HATNet
229,HAT-P-66,b,HAT-P-66 b,Transit,1,0,0,0,6002,50,-50,0,HATNet
230,HAT-P-67,b,HAT-P-67 b,Transit,1,0,0,0,6406,65,-61,0,HATNet
231,HAT-P-7,b,HAT-P-7 b,Transit,1,1,0,1,6389,17,-17,0,HATNet
232,HAT-P-8,b,HAT-P-8 b,Transit,1,0,0,0,6200,80,-80,0,HATNet
233,HAT-P-9,b,HAT-P-9 b,Transit,1,0,0,0,6350,150,,0,HATNet
234,HATS-1,b,HATS-1 b,Transit,1,0,0,0,5870,100,,0,HATSouth
235,HATS-10,b,HATS-10 b,Transit,1,0,0,0,5880,120,-120,0,HATSouth
236,HATS-11,b,HATS-11 b,Transit,1,0,1,0,6563,361,-361,0,HATSouth
237,HATS-12,b,HATS-12 b,Transit,1,0,1,0,6357,91,-91,0,HATSouth
238,HATS-13,b,HATS-13 b,Transit,1,0,0,0,5523,69,-69,0,HATSouth
239,HATS-14,b,HATS-14 b,Transit,1,0,0,1,5346,60,-60,0,HATSouth
240,HATS-15,b,HATS-15 b,Transit,1,0,0,0,5311,77,-77,0,HATSouth
241,HATS-16,b,HATS-16 b,Transit,1,0,0,0,5738,79,-79,0,HATSouth
242,HATS-17,b,HATS-17 b,Transit,1,0,0,0,5846,78,-78,0,HATSouth
243,HATS-18,b,HATS-18 b,Transit,1,0,0,0,5600,120,-120,0,Multiple Observatories
244,HATS-2,b,HATS-2 b,Transit,1,0,0,0,5227,95,-95,0,HATSouth
245,HATS-22,b,HATS-22 b,Transit,1,0,0,0,4803,55,-55,0,HATSouth
246,HATS-23,b,HATS-23 b,Transit,1,0,0,0,5780,120,-120,0,HATSouth
247,HATS-24,b,HATS-24 b,Transit,1,0,0,0,6346,81,-81,0,HATSouth
248,HATS-25,b,HATS-25 b,Transit,1,0,0,0,5715,73,-73,0,HATSouth
249,HATS-26,b,HATS-26 b,Transit,1,0,0,0,6071,81,-81,0,HATSouth
250,HATS-27,b,HATS-27 b,Transit,1,0,0,0,6438,64,-64,0,HATSouth
251,HATS-28,b,HATS-28 b,Transit,1,0,0,0,5498,84,-84,0,HATSouth
252,HATS-29,b,HATS-29 b,Transit,1,0,0,0,5670,110,-110,0,HATSouth
253,HATS-3,b,HATS-3 b,Transit,1,0,0,0,6351,76,-76,0,HATSouth
254,HATS-30,b,HATS-30 b,Transit,1,0,0,0,5943,70,-70,0,HATSouth
255,HATS-31,b,HATS-31 b,Transit,1,0,0,0,6050,120,-120,0,HATSouth
256,HATS-32,b,HATS-32 b,Transit,1,0,0,0,5700,110,-110,0,HATSouth
257,HATS-33,b,HATS-33 b,Transit,1,0,0,0,5659,85,-85,0,HATSouth
258,HATS-34,b,HATS-34 b,Transit,1,0,0,0,5380,73,-73,0,HATSouth
259,HATS-35,b,HATS-35 b,Transit,1,0,0,0,6300,100,-100,0,HATSouth
260,HATS-36,b,HATS-36 b,Transit,1,0,1,0,5950,83,-83,0,HATSouth
261,HATS-39,b,HATS-39 b,Transit,1,0,0,0,6572,83,-83,0,HATSouth
262,HATS-4,b,HATS-4 b,Transit,1,0,0,0,5403,50,-50,0,HATSouth
263,HATS-40,b,HATS-40 b,Transit,1,0,0,0,6460,130,-130,0,HATSouth
264,HATS-41,b,HATS-41 b,Transit,1,0,0,0,6424,91,-91,0,HATSouth
265,HATS-42,b,HATS-42 b,Transit,1,0,0,0,6060,120,-120,0,HATSouth
266,HATS-43,b,HATS-43 b,Transit,1,0,0,0,5099,61,-61,0,HATSouth
267,HATS-44,b,HATS-44 b,Transit,1,0,0,0,5080,100,-100,0,HATSouth
268,HATS-45,b,HATS-45 b,Transit,1,0,0,0,6450,110,-110,0,HATSouth
